layer,comparison,label_a,label_b,label_a_name,label_b_name,n_pair,n_label_a,n_label_b,silhouette,centroid_separation_ratio,knn_n_splits,knn_balanced_accuracy_mean,knn_balanced_accuracy_std
12,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.004693107213824987,0.17244582990073004,5,0.48841436341436334,0.010147646336493043
13,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.04991956055164337,0.42156463517384135,5,0.5,0.0
13,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.006067605689167976,0.17357757460794407,5,0.48841436341436345,0.01027933150164497
14,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.045684728771448135,0.4386208322384905,5,0.5,0.0
14,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.007376265246421099,0.17514772200491063,5,0.5035316535316536,0.023100884516727954
15,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.002930223010480404,0.43926115068700405,5,0.5,0.0
15,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.003144516609609127,0.1702789951197144,5,0.49212292337292335,0.006663225700278441
16,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.0030995430424809456,0.4701833213392627,5,0.5,0.0
16,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.002137955976650119,0.16489031923750203,5,0.4914187664187665,0.0052774308330699295
17,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.024006962776184082,0.5491837518249618,5,0.5,0.0
17,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.0016121643129736185,0.1636418810783704,5,0.490020165020165,0.004607925786789974
18,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.06610801070928574,0.6798781973270092,5,0.5,0.0
18,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,0.000309241033392027,0.16450162484999262,5,0.49281251156251155,0.008720327574350088
19,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.031654562801122665,0.6501513911064691,5,0.5,0.0
19,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.00032877468038350344,0.1569027091832378,5,0.4942014004514005,0.009923093401613577
20,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.022633390501141548,0.6519728921439256,5,0.5,0.0
20,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.003731810487806797,0.15096118078755977,5,0.48840465090465085,0.00952538189305715
21,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.01523615699261427,0.6725714780572885,5,0.5,0.0
21,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.006683091167360544,0.14600455583625646,5,0.49281251156251155,0.008568801266189873
22,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.04267676919698715,0.7822698240041419,5,0.5,0.0
22,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.007594817318022251,0.13924981079947665,5,0.507008732008732,0.017087605157662118
23,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.017294134944677353,0.7388397859672651,5,0.5,0.0
23,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.0061211665160954,0.13028513638510708,5,0.5063191438191439,0.018966588836524557
24,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.0029116913210600615,0.7403884700084923,5,0.5,0.0
24,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.008674174547195435,0.12781364474305193,5,0.5041414603914605,0.01715802754724244
25,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,-0.01306892093271017,0.7431561169023778,5,0.5,0.0
25,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.010007182136178017,0.12435564530417892,5,0.5070184445184445,0.014725028938068553
26,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,-0.018567722290754318,0.742085082262924,5,0.5,0.0
26,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.011163845658302307,0.12374079840405236,5,0.5098905723905724,0.011054332845081422
27,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,-0.028545912355184555,0.6980781476570485,5,0.5,0.0
27,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.0037130091805011034,0.1196945161028072,5,0.5084121896621897,0.014001768536259585
28,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,0.0011411529267206788,0.7615932837938546,5,0.5,0.0
28,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.005443754605948925,0.1125909036913542,5,0.5091961279461279,0.015027833232950552
29,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,-0.012586832046508789,0.7409449340656206,5,0.5,0.0
29,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.005202837288379669,0.11036700177308016,5,0.5120633995633995,0.02110752238689213
30,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,-0.019111907109618187,0.7384396994617267,5,0.5,0.0
30,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.003910246305167675,0.10553668929909936,5,0.5119690494690495,0.019663878519876096
31,1_vs_2,1,2,direct_answer_no_conflict_ack,asks_user_to_clarify,723,717,6,-0.029120301827788353,0.6865243637373453,5,0.5,0.0
31,1_vs_3,1,3,direct_answer_no_conflict_ack,self_resolves_then_answers,856,717,139,-0.007737025152891874,0.108278412117817,5,0.5063094313094314,0.021967560175010756
