model,conflict_type_idx,sample_id,non_thinking_behavior_judge_model,non_thinking_constraint_judge_model,non_thinking_behavior_label,non_thinking_constraint_label,non_thinking_behavior_label_name,non_thinking_constraint_label_name,thinking_behavior_judge_model,thinking_constraint_judge_model,thinking_behavior_label,thinking_constraint_label,thinking_behavior_label_name,thinking_constraint_label_name,constraint_switched,behavior_switched
Qwen/Qwen3.5-4B,1,27,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,1,28,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,1,29,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,30,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,31,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,32,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,1,33,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,1,34,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,35,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,1,36,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,1,37,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,1,38,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,1,39,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,1,40,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,1,41,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,42,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,43,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,44,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,1,45,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,46,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,47,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,48,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,49,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,50,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,51,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,1,52,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,53,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,54,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,55,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,56,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,57,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,58,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,59,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,60,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,1,61,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,62,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,2.0,,org_constraint,False,False
Qwen/Qwen3.5-4B,1,63,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,64,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,65,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,1,66,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,67,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,1,68,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,1,69,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,70,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,1,71,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,1,72,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,73,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,1,74,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,1,75,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,1,76,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,77,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,1,78,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,1,79,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,1,80,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,1,81,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,1,82,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,83,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,1,84,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,1,85,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,86,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,1,87,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,88,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,89,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,1,90,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,1,91,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,1,92,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,93,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,94,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,1,95,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,1,96,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,97,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,1,98,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,1,99,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,1,100,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,1,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,2.0,,org_constraint,True,False
Qwen/Qwen3.5-4B,2,2,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,2.0,,org_constraint,True,False
Qwen/Qwen3.5-4B,2,3,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,4,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,2,5,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,6,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,2,7,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,8,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,2,9,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,2,10,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,2,11,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,12,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,13,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,2,14,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,2,15,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,2.0,,org_constraint,False,False
Qwen/Qwen3.5-4B,2,16,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,2,17,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,18,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,19,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,20,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,2,21,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,2,22,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,2,23,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,2,24,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,2,25,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,2,26,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,2,27,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,2,28,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,2,29,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,30,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,31,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,2,32,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,2,33,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,2.0,,org_constraint,True,False
Qwen/Qwen3.5-4B,2,34,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,2,35,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,36,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,37,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,2,38,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,2,39,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,2,40,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,2,41,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,42,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,2.0,,org_constraint,False,False
Qwen/Qwen3.5-4B,2,43,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,2,44,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,2,45,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,2,46,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,2.0,,org_constraint,False,False
Qwen/Qwen3.5-4B,2,47,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,2,48,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,49,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,50,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,51,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,2,52,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,53,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,54,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,55,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,2,56,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,57,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,58,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,59,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,60,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,61,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,2,62,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,2,63,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,2,64,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,2,65,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,2.0,,org_constraint,True,False
Qwen/Qwen3.5-4B,2,66,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,-1.0,,neither,True,False
Qwen/Qwen3.5-4B,2,67,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,2,68,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,2.0,,org_constraint,True,False
Qwen/Qwen3.5-4B,2,69,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,2,70,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,2,71,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,2,72,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,2,73,,gpt-4o-2024-11-20,,1.0,,new_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,False,False
Qwen/Qwen3.5-4B,2,74,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,2.0,,org_constraint,True,False
Qwen/Qwen3.5-4B,2,75,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,2,76,,gpt-4o-2024-11-20,,-1.0,,neither,,gpt-4o-2024-11-20,,-1.0,,neither,False,False
Qwen/Qwen3.5-4B,2,77,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
Qwen/Qwen3.5-4B,2,78,,gpt-4o-2024-11-20,,2.0,,org_constraint,,gpt-4o-2024-11-20,,1.0,,new_constraint,True,False
